artist,minimum,LF,RF,maximum,na.rm,out.of.range,unusual,description,feature
Manchester Orchestra,0,-0.625,0.6875,0.675000071526,TRUE,FALSE,FALSE,Within Range,bpm_histogram_second_peak_spread
The Front Bottoms,0,-0.515625,0.515625,0.638297915459,TRUE,FALSE,FALSE,Within Range,bpm_histogram_second_peak_spread
All Get Out,0.00609756074846,-0.048921726644012495,0.0856926664710125,0.316890895367,TRUE,FALSE,FALSE,Within Range,bpm_histogram_second_peak_weight
Manchester Orchestra,0,-0.13123558741074998,0.17653175350294997,0.453760772943,TRUE,FALSE,FALSE,Within Range,bpm_histogram_second_peak_weight
The Front Bottoms,0.00399201596156,-0.11670907959350002,0.1522420756519,0.443217664957,TRUE,FALSE,FALSE,Within Range,bpm_histogram_second_peak_weight
All Get Out,1.65749394894,1.725844591855,3.12003913522,4.0527973175,TRUE,FALSE,FALSE,Within Range,onset_rate
Manchester Orchestra,1.0812305212,0.42530655860999955,3.70012354851,4.62492418289,TRUE,FALSE,FALSE,Within Range,onset_rate
The Front Bottoms,2.62517237663,2.2777315378100003,4.57496058941,4.72325468063,TRUE,TRUE,TRUE,Out of Range,onset_rate
All Get Out,0.609923481941,0.2610827535390001,1.0771669298414999,0.975588440895,TRUE,FALSE,FALSE,Within Range,tuning_nontempered_energy_ratio
Manchester Orchestra,0.602895140648,0.44012901187050013,0.8882612287995,0.976597368717,TRUE,FALSE,TRUE,Unusual,tuning_nontempered_energy_ratio
The Front Bottoms,0.637160420418,0.3112211823474999,1.0657669901845,0.96653419733,TRUE,FALSE,FALSE,Within Range,tuning_nontempered_energy_ratio
All Get Out,434.193115234,423.95610046300004,444.43013000499997,443.060424805,TRUE,FALSE,FALSE,Within Range,tuning_frequency
Manchester Orchestra,434.193115234,432.13778686549995,442.7937927245,443.572570801,TRUE,FALSE,FALSE,Within Range,tuning_frequency
The Front Bottoms,434.193115234,425.10142517049997,443.28480529750004,456.04309082,TRUE,FALSE,FALSE,Within Range,tuning_frequency
All Get Out,0.00268451031297,-0.25020156591225,0.28758517908885,0.290387243032,TRUE,FALSE,FALSE,Within Range,tuning_equal_tempered_deviation
Manchester Orchestra,0.0033546378836,-0.11903394944899999,0.1851430926466,0.267783612013,TRUE,FALSE,TRUE,Unusual,tuning_equal_tempered_deviation
The Front Bottoms,0.00841389596462,-0.2673327149825,0.32708580140050003,0.35401237011,TRUE,FALSE,FALSE,Within Range,tuning_equal_tempered_deviation
All Get Out,0.496312916279,0.43938532471725006,0.70774355530725,0.740254163742,TRUE,FALSE,FALSE,Within Range,tuning_diatonic_strength
Manchester Orchestra,0.441575139761,0.44757479429349983,0.6779633164405001,0.705719232559,TRUE,FALSE,FALSE,Within Range,tuning_diatonic_strength
The Front Bottoms,0.509873509407,0.5049725770955,0.7320902347564999,0.731336116791,TRUE,FALSE,FALSE,Within Range,tuning_diatonic_strength
All Get Out,1.57173061371,1.7201011925999996,2.19051979482,2.24090456963,TRUE,FALSE,FALSE,Within Range,hpcp_entropy
Manchester Orchestra,1.24189674854,1.3096250891649999,2.164652168755,2.17806196213,TRUE,FALSE,FALSE,Within Range,hpcp_entropy
